status,dataset_id,name,short_description,primary_source_type,primary_source,primary_fingerprint,doi,pmid,manufacturer,product,release_date,tags,last_updated,lamin_link,notes,software_name,software_version
todo,ds_ad03ab99d753,"Visium HD Spatial Gene Expression Library, Human Pancreas (FFPE)",HD Spatial Gene Expression v1.0 | Human | Pancreas,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-pancreas-4,ad03ab99d753,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Pancreas",2025-09-29,,,Space Ranger,4.0.1
todo,ds_c49bf1838d56,"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen), Ultima Sequencing",HD Spatial Gene Expression v1.0 | Human | Breast,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-breast-cancer-ff-ultima-4,c49bf1838d56,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Breast",2025-09-29,,,Space Ranger,4.0.1
todo,ds_11c630435dda,"Visium HD Spatial Gene Expression Library, Mouse Kidney (FFPE)",HD Spatial Gene Expression v1.0 | Mouse | Kidney,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-kidney-v4,11c630435dda,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Mouse,Kidney",2025-09-29,,,Space Ranger,4.0.1
todo,ds_aeb469e2e37f,"Visium HD Spatial Gene Expression Library, Mouse Brain (FFPE)",HD Spatial Gene Expression v1.0 | Mouse | Brain,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-brain-he-v4,aeb469e2e37f,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Mouse,Brain",2025-09-29,,,Space Ranger,4.0.1
todo,ds_dbfa6aa27e07,"Visium HD Spatial Gene Expression Library, Human Colorectal Cancer (FFPE)",HD Spatial Gene Expression v1.0 | Human | Colon,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-human-crc-v4,dbfa6aa27e07,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Colon",2025-09-29,,,Space Ranger,4.0.1
todo,ds_177327996b8a,"Visium HD Spatial Gene Expression Library, Human Lymph Node (FFPE)",HD Spatial Gene Expression v1.0 | Human | Lymph Node,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-lymph-node-v4,177327996b8a,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Lymph Node",2025-09-29,,,Space Ranger,4.0.1
todo,ds_8f156a7a3d08,"Visium HD Spatial Gene Expression Library, Human Kidney (FFPE)",HD Spatial Gene Expression v1.0 | Human | Kidney,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-kidney-ffpe-v4,8f156a7a3d08,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Kidney",2025-09-29,,,Space Ranger,4.0.1
todo,ds_e4058dcfd230,"Visium HD Spatial Gene Expression Library, Mouse Embryo (FFPE)",HD Spatial Gene Expression v1.0 | Mouse | Whole Embryo,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-of-mouse-embryo-4,e4058dcfd230,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Mouse,Whole Embryo",2025-09-29,,,Space Ranger,4.0.1
todo,ds_9eb2a5db18b9,"Visium HD Spatial Gene Expression Library, Human Prostate Cancer (FFPE)",HD Spatial Gene Expression v1.0 | Human | prostate,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-prostate-cancer-ffpe,9eb2a5db18b9,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,prostate",2025-09-29,,,Space Ranger,4.0.1
todo,ds_7dc71e7ef5f1,"Visium CytAssist Spatial Gene Expression Library, Human Lymph Node (FFPE)",Spatial Gene Expression v2 | Human | Lymph Node,url,https://10xgenomics.com/datasets/visium-v2-human-lymph-node,7dc71e7ef5f1,,,10x Genomics,Spatial Gene Expression v2,,"Human,Lymph Node",2025-09-29,,,Space Ranger,3.1.3
todo,ds_20ac6644f5c3,"Visium HD Spatial Gene Expression Library, Human Kidney (FFPE)",HD Spatial Gene Expression v1.0 | Human | Kidney,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-kidney-ffpe,20ac6644f5c3,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Kidney",2025-09-29,,,Space Ranger,3.1.2
todo,ds_3622922ff2a1,"Visium HD Spatial Gene Expression Library, Human Tonsil (Fresh Frozen), Ultima Sequencing",HD Spatial Gene Expression v1.0 | Human | Tonsil,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-tonsil-ff-ultima,3622922ff2a1,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Tonsil",2025-09-29,,,Space Ranger,3.1.2
todo,ds_343bce1257e5,"Visium HD Spatial Gene Expression Library, Human Breast Cancer (Fresh Frozen), Ultima Sequencing",HD Spatial Gene Expression v1.0 | Human | Breast,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-breast-cancer-ff-ultima,343bce1257e5,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,Breast",2025-09-29,,,Space Ranger,3.1.2
todo,ds_59e7579a48df,FFPE Human Ovarian Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,In Situ Gene Expression Xenium Prime | Human | Ovary,url,https://10xgenomics.com/datasets/xenium-prime-ffpe-human-ovarian-cancer,59e7579a48df,,,10x Genomics,In Situ Gene Expression Xenium Prime,,"Human,Ovary",2025-09-29,,,Xenium Onboard Analysis,3.0.0
todo,ds_bb42a3f71cd6,"Visium HD Spatial Gene Expression Library, Human Breast Cancer, IF (FFPE)",HD Spatial Gene Expression v1.0 | Human | breast,url,https://10xgenomics.com/datasets/visium-hd-cytassist-gene-expression-libraries-human-breast-cancer-ffpe-if,bb42a3f71cd6,,,10x Genomics,HD Spatial Gene Expression v1.0,,"Human,breast",2025-09-29,,,Space Ranger,3.1.2
todo,ds_602926a39fa5,Post-Xenium Technical Note: Xenium v1 and Xenium Prime 5K for FFPE Human Lung Cancer,In Situ Gene Expression Xenium Prime | Human | Lung,url,https://10xgenomics.com/datasets/xenium-human-lung-cancer-post-xenium-technote,602926a39fa5,,,10x Genomics,In Situ Gene Expression Xenium Prime,,"Human,Lung",2025-09-29,,,Xenium Onboard Analysis,3.0.0
todo,ds_86fdf7aaf1e5,FFPE Human Breast Cancer with 5K Human Pan Tissue and Pathways Panel plus 100 Custom Genes,In Situ Gene Expression Xenium Prime | Human | Breast,url,https://10xgenomics.com/datasets/xenium-prime-ffpe-human-breast-cancer,86fdf7aaf1e5,,,10x Genomics,In Situ Gene Expression Xenium Prime,,"Human,Breast",2025-09-29,,,Xenium Onboard Analysis,3.0.0
